class,TP,FP,FN,TN,precision,recall,f1,specificity
adho mukha svanasana,19,4,5,1620,0.826,0.792,0.809,0.998
adho mukha vrksasana,16,10,3,1619,0.615,0.842,0.711,0.994
akarna dhanurasana,8,1,1,1638,0.889,0.889,0.889,0.999
ananda balasana,12,2,1,1633,0.857,0.923,0.889,0.999
anantasana,5,2,1,1640,0.714,0.833,0.769,0.999
anjaneyasana,23,13,7,1605,0.639,0.767,0.697,0.992
ardha chandrasana,26,5,2,1615,0.839,0.929,0.881,0.997
ardha matsyendrasana,27,6,3,1612,0.818,0.9,0.857,0.996
ardha pincha mayurasana,4,1,3,1640,0.8,0.571,0.667,0.999
astavakrasana,10,5,4,1629,0.667,0.714,0.69,0.997
baddha konasana,21,6,5,1616,0.778,0.808,0.792,0.996
bakasana,7,4,2,1635,0.636,0.778,0.7,0.998
balasana,22,13,5,1608,0.629,0.815,0.71,0.992
bharadvajasana i,6,8,3,1631,0.429,0.667,0.522,0.995
bhekasana,14,1,0,1633,0.933,1.0,0.966,0.999
bhujangasana,12,1,2,1633,0.923,0.857,0.889,0.999
bhujapidasana,6,1,3,1638,0.857,0.667,0.75,0.999
camatkarasana,15,4,7,1622,0.789,0.682,0.732,0.998
chaturanga dandasana,14,4,5,1625,0.778,0.737,0.757,0.998
dandasana,7,2,1,1638,0.778,0.875,0.824,0.999
dhanurasana,19,0,3,1626,1.0,0.864,0.927,1.0
dwi pada viparita dandasana,6,1,4,1637,0.857,0.6,0.706,0.999
eka pada koundinyanasana,7,9,7,1625,0.438,0.5,0.467,0.994
garudasana,13,2,5,1628,0.867,0.722,0.788,0.999
gomukhasana,17,8,6,1617,0.68,0.739,0.708,0.995
halasana,8,8,6,1626,0.5,0.571,0.533,0.995
hanumanasana,25,8,12,1603,0.758,0.676,0.714,0.995
janu sirsasana,10,5,7,1626,0.667,0.588,0.625,0.997
kapotasana,5,0,1,1642,1.0,0.833,0.909,1.0
krounchasana,11,3,3,1631,0.786,0.786,0.786,0.998
kurmasana,7,7,11,1623,0.5,0.389,0.438,0.996
lolasana,8,4,6,1630,0.667,0.571,0.615,0.998
makara adho mukha svanasana,2,2,3,1641,0.5,0.4,0.444,0.999
malasana,20,6,5,1617,0.769,0.8,0.784,0.996
marjaryasana,12,2,4,1630,0.857,0.75,0.8,0.999
matsyasana,10,5,14,1619,0.667,0.417,0.513,0.997
mayurasana,11,3,5,1629,0.786,0.688,0.733,0.998
natarajasana,32,7,3,1606,0.821,0.914,0.865,0.996
parighasana,10,0,2,1636,1.0,0.833,0.909,1.0
paripurna navasana,26,7,1,1614,0.788,0.963,0.867,0.996
parivrtta janu sirsasana,20,8,1,1619,0.714,0.952,0.816,0.995
parsva bakasana,11,11,7,1619,0.5,0.611,0.55,0.993
parsvottanasana,11,9,4,1624,0.55,0.733,0.629,0.994
pasasana,1,0,4,1643,1.0,0.2,0.333,1.0
paschimottanasana,9,5,7,1627,0.643,0.562,0.6,0.997
pawanmuktasana,16,3,1,1628,0.842,0.941,0.889,0.998
phalakasana,8,1,0,1639,0.889,1.0,0.941,0.999
pincha mayurasana,19,3,4,1622,0.864,0.826,0.844,0.998
prasarita padottanasana,17,6,8,1617,0.739,0.68,0.708,0.996
purvottanasana,20,2,1,1625,0.909,0.952,0.93,0.999
rajakapotasana,15,3,12,1618,0.833,0.556,0.667,0.998
salabhasana,18,2,2,1626,0.9,0.9,0.9,0.999
salamba sarvangasana,17,4,5,1622,0.81,0.773,0.791,0.998
salamba sirsasana,25,5,2,1616,0.833,0.926,0.877,0.997
savasana,20,12,5,1611,0.625,0.8,0.702,0.993
setu bandha sarvangasana,23,0,3,1622,1.0,0.885,0.939,1.0
sukhasana,27,12,15,1594,0.692,0.643,0.667,0.993
supta baddha konasana,23,7,7,1611,0.767,0.767,0.767,0.996
supta padangusthasana,12,5,3,1628,0.706,0.8,0.75,0.997
supta virasana,31,9,3,1605,0.775,0.912,0.838,0.994
tittibhasana,20,5,4,1619,0.8,0.833,0.816,0.997
tolasana,12,1,1,1634,0.923,0.923,0.923,0.999
upavistha konasana,7,13,16,1612,0.35,0.304,0.326,0.992
urdhva dhanurasana,23,4,7,1614,0.852,0.767,0.807,0.998
urdhva prasarita eka padasana,5,5,6,1632,0.5,0.455,0.476,0.997
ustrasana,27,2,6,1613,0.931,0.818,0.871,0.999
utkatasana,24,5,4,1615,0.828,0.857,0.842,0.997
uttana shishosana,5,0,1,1642,1.0,0.833,0.909,1.0
uttanasana,31,10,7,1600,0.756,0.816,0.785,0.994
utthita hasta padangustasana,17,4,5,1622,0.81,0.773,0.791,0.998
utthita parsvakonasana,25,5,2,1616,0.833,0.926,0.877,0.997
utthita trikonasana,20,2,5,1621,0.909,0.8,0.851,0.999
vasisthasana,35,5,1,1607,0.875,0.972,0.921,0.997
viparita karani,15,3,7,1623,0.833,0.682,0.75,0.998
viparita virabhadrasana,14,3,3,1628,0.824,0.824,0.824,0.998
virabhadrasana i,19,4,5,1620,0.826,0.792,0.809,0.998
virabhadrasana ii,26,1,5,1616,0.963,0.839,0.897,0.999
virabhadrasana iii,18,2,2,1626,0.9,0.9,0.9,0.999
virasana,18,11,9,1610,0.621,0.667,0.643,0.993
vriksasana,25,4,5,1614,0.862,0.833,0.847,0.998
vrischikasana,3,2,8,1635,0.6,0.273,0.375,0.999
yoganidrasana,4,1,5,1638,0.8,0.444,0.571,0.999
